GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Transaction,com.demo.dto,DtoAccount.DtoAccountBuilder,62,0,0,0,1,0,7,0,7,0
Transaction,com.demo.dto,DtoTransaction.DtoTransactionBuilder,26,0,0,0,1,0,4,0,4,0
Transaction,com.demo.dto,DtoAccount,231,0,38,0,5,0,34,0,15,0
Transaction,com.demo.dto,DtoResponseAccount,93,0,14,0,2,0,16,0,9,0
Transaction,com.demo.dto,DtoBalance,93,0,14,0,2,0,16,0,9,0
Transaction,com.demo.dto,DtoTransfer.DtoTransferBuilder,62,0,0,0,1,0,7,0,7,0
Transaction,com.demo.dto,DtoBalance.DtoBalanceBuilder,26,0,0,0,1,0,4,0,4,0
Transaction,com.demo.dto,DtoTransaction,93,0,14,0,2,0,16,0,9,0
Transaction,com.demo.dto,DtoResponseAccount.DtoResponseAccountBuilder,26,0,0,0,1,0,4,0,4,0
Transaction,com.demo.dto,DtoTransfer,231,0,38,0,5,0,34,0,15,0
Transaction,com.demo.entity,Account.AccountBuilder,74,0,0,0,1,0,8,0,8,0
Transaction,com.demo.entity,Account,274,3,46,0,5,1,39,1,16,1
Transaction,com.demo.entity,Transfer,285,3,46,0,8,1,40,1,17,1
Transaction,com.demo.entity,Transfer.TransferBuilder,74,0,0,0,1,0,8,0,8,0
Transaction,com.demo.service,DemoServiceImpl,334,3,30,0,73,1,30,1,15,1
Transaction,com.demo.mapper.impl,AccountMapperImpl,60,3,4,0,16,1,4,1,2,1
Transaction,com.demo.mapper.impl,TransferMapperImpl,60,3,4,0,16,1,4,1,2,1
Transaction,com.demo.controller,DemoControllerImpl,110,3,16,0,34,1,16,1,8,1
Transaction,com.demo,TransactionApplication,5,3,0,0,2,1,1,1,1,1
Transaction,com.demo,SwaggerConfig,0,35,0,0,0,9,0,3,0,3
Transaction,com.demo.mapper,AccountMapper,35,0,2,0,12,0,3,0,2,0
Transaction,com.demo.mapper,TransferMapper,35,0,2,0,12,0,3,0,2,0
Transaction,com.demo.util,Validator,42,3,10,0,10,1,6,1,1,1
